"tripduration","starttime","stoptime","start station name","end station name"
476,"2018-03-01 09:12:30.9920","2018-03-01 09:20:27.9220","Broadway & W 41 St","E 39 St & 2 Ave"
752,"2018-03-01 09:12:46.4840","2018-03-01 09:25:18.5320","Broadway & W 41 St","E 16 St & 5 Ave"
734,"2018-03-01 09:13:54.4620","2018-03-01 09:26:08.8580","Broadway & W 41 St","FDR Drive & E 35 St"
820,"2018-03-01 09:18:14.3330","2018-03-01 09:31:54.4490","Broadway & W 41 St","Lafayette St & E 8 St"
319,"2018-03-01 09:23:47.6360","2018-03-01 09:29:07.2150","Broadway & W 41 St","Pershing Square North"
89,"2018-03-01 09:26:36.8430","2018-03-01 09:28:05.9420","Broadway & W 41 St","W 41 St & 8 Ave"
349,"2018-03-01 09:26:43.4700","2018-03-01 09:32:32.7240","Broadway & W 41 St","E 32 St & Park Ave"
303,"2018-03-01 09:26:52.8290","2018-03-01 09:31:56.0380","Broadway & W 41 St","Pershing Square South"
355,"2018-03-01 09:28:25.8800","2018-03-01 09:34:21.8400","Broadway & W 41 St","Pershing Square South"
545,"2018-03-01 09:28:34.3570","2018-03-01 09:37:39.5910","Broadway & W 41 St","Lexington Ave & E 29 St"
436,"2018-03-01 09:28:45.6720","2018-03-01 09:36:01.7120","Broadway & W 41 St","Broadway & W 25 St"
1697,"2018-03-01 09:29:08.9270","2018-03-01 09:57:26.3640","Broadway & W 41 St","Allen St & Stanton St"
281,"2018-03-01 09:32:48.0060","2018-03-01 09:37:29.2450","Broadway & W 41 St","Broadway & W 29 St"
442,"2018-03-01 09:35:46.1380","2018-03-01 09:43:08.6940","Broadway & W 41 St","E 39 St & 2 Ave"
323,"2018-03-01 09:37:15.4220","2018-03-01 09:42:39.1650","Broadway & W 41 St","W 52 St & 6 Ave"
291,"2018-03-01 09:39:08.8330","2018-03-01 09:43:59.8740","Broadway & W 41 St","Pershing Square North"
201,"2018-03-01 09:40:06.8180","2018-03-01 09:43:28.3520","Broadway & W 41 St","E 41 St & Madison Ave"
320,"2018-03-01 09:43:27.2070","2018-03-01 09:48:47.7140","Broadway & W 41 St","Broadway & W 25 St"
387,"2018-03-01 09:48:00.2820","2018-03-01 09:54:28.2300","Broadway & W 41 St","W 55 St & 6 Ave"
235,"2018-03-01 09:50:20.9080","2018-03-01 09:54:16.4880","Broadway & W 41 St","Pershing Square South"
388,"2018-03-01 09:54:09.6230","2018-03-01 10:00:38.3030","Broadway & W 41 St","W 37 St & 10 Ave"
1115,"2018-03-01 09:55:50.7770","2018-03-01 10:14:25.8720","Broadway & W 41 St","Mercer St & Spring St"
499,"2018-03-01 10:00:01.2700","2018-03-01 10:08:21.1870","Broadway & W 41 St","E 30 St & Park Ave S"
853,"2018-03-01 10:09:49.2710","2018-03-01 10:24:02.3780","Broadway & W 41 St","W 59 St & 10 Ave"
492,"2018-03-01 10:09:49.6480","2018-03-01 10:18:01.7530","Broadway & W 41 St","E 44 St & 2 Ave"
502,"2018-03-01 10:09:56.5380","2018-03-01 10:18:19.3170","Broadway & W 41 St","W 55 St & 6 Ave"
961,"2018-03-01 10:09:57.5400","2018-03-01 10:25:58.7390","Broadway & W 41 St","W 52 St & 5 Ave"
511,"2018-03-01 10:14:42.1680","2018-03-01 10:23:13.6150","Broadway & W 41 St","5 Ave & E 29 St"
285,"2018-03-01 10:15:14.3390","2018-03-01 10:19:59.4170","Broadway & W 41 St","E 48 St & 5 Ave"
393,"2018-03-01 10:19:21.0190","2018-03-01 10:25:54.7900","Broadway & W 41 St","Broadway & W 56 St"
602,"2018-03-01 10:20:10.1970","2018-03-01 10:30:12.6130","Broadway & W 41 St","W 13 St & Hudson St"
850,"2018-03-01 10:23:33.8940","2018-03-01 10:37:44.0170","Broadway & W 41 St","W 13 St & 5 Ave"
129,"2018-03-01 10:24:47.6590","2018-03-01 10:26:56.9590","Broadway & W 41 St","Broadway & W 37 St"
443,"2018-03-01 10:28:21.9880","2018-03-01 10:35:45.9280","Broadway & W 41 St","W 26 St & 8 Ave"
1184,"2018-03-01 10:44:14.7870","2018-03-01 11:03:58.9300","Broadway & W 41 St","Broadway & W 29 St"
464,"2018-03-01 10:44:55.6290","2018-03-01 10:52:40.1060","Broadway & W 41 St","Broadway & E 22 St"
482,"2018-03-01 10:47:56.2250","2018-03-01 10:55:58.8750","Broadway & W 41 St","W 20 St & 7 Ave"
940,"2018-03-01 10:48:18.9740","2018-03-01 11:03:59.3960","Broadway & W 41 St","Broadway & W 29 St"
112,"2018-03-01 10:56:46.0530","2018-03-01 10:58:38.0940","Broadway & W 41 St","Broadway & W 37 St"
483,"2018-03-01 10:58:21.7600","2018-03-01 11:06:24.7890","Broadway & W 41 St","E 39 St & 2 Ave"
425,"2018-03-01 11:08:57.6200","2018-03-01 11:16:02.9860","Broadway & W 41 St","Pershing Square North"
1180,"2018-03-01 11:09:00.1410","2018-03-01 11:28:40.8180","Broadway & W 41 St","Perry St & Bleecker St"
623,"2018-03-01 11:35:15.4670","2018-03-01 11:45:39.0440","Broadway & W 41 St","1 Ave & E 30 St"
380,"2018-03-01 11:43:03.8820","2018-03-01 11:49:24.0730","Broadway & W 41 St","E 41 St & 5 Ave"
586,"2018-03-01 11:44:27.4730","2018-03-01 11:54:14.2180","Broadway & W 41 St","Pershing Square North"
411,"2018-03-01 11:53:53.1330","2018-03-01 12:00:44.9790","Broadway & W 41 St","Broadway & W 29 St"
721,"2018-03-01 12:02:38.2550","2018-03-01 12:14:40.1100","Broadway & W 41 St","W 11 St & 6 Ave"
242,"2018-03-01 12:04:13.1310","2018-03-01 12:08:15.9840","Broadway & W 41 St","E 41 St & 5 Ave"
348,"2018-03-01 12:04:35.9820","2018-03-01 12:10:24.1700","Broadway & W 41 St","9 Ave & W 45 St"
320,"2018-03-01 12:44:41.9190","2018-03-01 12:50:02.3620","Broadway & W 41 St","W 43 St & 10 Ave"
181,"2018-03-01 12:44:52.1840","2018-03-01 12:47:53.2480","Broadway & W 41 St","Broadway & W 37 St"
418,"2018-03-01 12:48:50.9690","2018-03-01 12:55:49.2350","Broadway & W 41 St","Broadway & W 29 St"
1244,"2018-03-01 12:52:35.0200","2018-03-01 13:13:19.2230","Broadway & W 41 St","Central Park West & W 85 St"
226,"2018-03-01 12:54:15.3990","2018-03-01 12:58:02.0760","Broadway & W 41 St","W 42 St & Dyer Ave"
852,"2018-03-01 12:56:10.0560","2018-03-01 13:10:22.5080","Broadway & W 41 St","Central Park S & 6 Ave"
140,"2018-03-01 13:02:15.3950","2018-03-01 13:04:36.0430","Broadway & W 41 St","W 42 St & 8 Ave"
528,"2018-03-01 13:07:04.2530","2018-03-01 13:15:52.9850","Broadway & W 41 St","E 16 St & 5 Ave"
194,"2018-03-01 13:13:32.2480","2018-03-01 13:16:46.9710","Broadway & W 41 St","W 44 St & 5 Ave"
464,"2018-03-01 13:15:39.5890","2018-03-01 13:23:23.9780","Broadway & W 41 St","11 Ave & W 41 St"
550,"2018-03-01 13:27:04.8770","2018-03-01 13:36:15.1380","Broadway & W 41 St","W 52 St & 6 Ave"
474,"2018-03-01 13:34:06.1290","2018-03-01 13:42:01.0530","Broadway & W 41 St","E 45 St & 3 Ave"
881,"2018-03-01 13:36:33.3820","2018-03-01 13:51:14.7910","Broadway & W 41 St","MacDougal St & Washington Sq"
